ObservationId,UnitId,ZoneId,CategoryId,Date,Time,Observation,Recommendation,Remarks,RiskRating,StatusId,is_highlight,Image
OBS-0001,2,4,1,2024-11-18,09:14,Worker observed without safety helmet in designated hard hat area,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,Medium,4,0,IMG_0001.jpg
OBS-0002,8,18,2,2025-04-29,12:02,Oil spill on walkway not cleaned within acceptable timeframe,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Low,2,0,IMG_0002.jpg
OBS-0003,4,8,9,2025-05-05,06:35,Stack emission visibly abnormal — not reported to control room,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Logged during scheduled safety walk,High,1,1,IMG_0003.jpg
OBS-0004,7,14,4,2025-02-15,15:17,Pressure relief valve past scheduled inspection date,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,High,3,0,IMG_0004.jpg
OBS-0005,7,14,6,2024-11-20,08:13,Scaffolding toe board missing on third level platform,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Reported by shift supervisor,Medium,2,0,IMG_0005.jpg
OBS-0006,2,4,2,2025-01-11,07:22,Oil spill on walkway not cleaned within acceptable timeframe,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Critical,4,0,IMG_0006.jpg
OBS-0007,7,15,9,2024-09-02,12:05,Stack emission visibly abnormal — not reported to control room,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Logged during scheduled safety walk,Low,2,0,IMG_0007.jpg
OBS-0008,6,12,10,2024-10-07,17:04,First aid kit contents found expired during routine check,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,High,1,1,IMG_0008.jpg
OBS-0009,2,3,4,2024-08-21,12:17,Corroded bolts observed on critical flange joint,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Medium,2,0,IMG_0009.jpg
OBS-0010,3,6,6,2024-12-29,09:42,Ladder used beyond rated height without secondary anchor point,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Logged during scheduled safety walk,Medium,2,0,IMG_0010.jpg
